Start,End,Date text,Date (for research purposes only),Region,Country,Lat,Long,Basis,Headline,Description,Sources,
1998,1998,1998,,Northern Africa,Algeria,34.3863,4.95587,Casualty,Attack on water system in Algeria,"A bomb placed by a group suspected to be affiliated with an extremist Islamic insurgency detonates near the Sidi Khaled water tower, damaging a two-meter section of pipe. ",A.B. 1998; National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 199802200004,
2017,2017,2017,,Sub-Saharan Africa,South Sudan,8.5324,28.0991,Trigger,38 killed; 30 injured in fighting over access to water and land in South Sudan,"According to a report, 38 people are killed and another 30 are injured in fighting between two local clans over water points, grazing land, and border areas, in Gogrial West, Warrap, South Sudan. ",AAP 2017; Raleigh et al 2010 ID. 307554,
2007,2007,2007,,Australia and New Zealand,Australia,-33.86,151.21,Trigger,Australian man murdered in fight over water restrictions,"A 36-year-old Australian is charged with murder after killing a man during a fight over water restrictions in Sydney. A number of incidents have been reported following ten years of drought and water restrictions, leading scholars to suggest a ""link between persistent urban water restrictions and civil unrest.""",ABC News 2007; Crase 2009,
2018,2018,2018,,Sub-Saharan Africa,Kenya,2.3355,37.9943,Trigger,Conflicts over pasture land and water resources lead to violence,"14 people are killed in Northern Kenya, near Marsabit, after ongoing conflicts between two ethnic groups over land and water resources turns violent.",Abidi 2018,
2018,2018,2018,,Southern Asia,India,31.1048,77.1734,Trigger,Water shortages in India lead to deadly fights between civilians and harassment of water company employees,"Lack of water in cities across India -- due to drought, growing populations, and inadequate infrastructure -- leads to high tensions, resulting in at least two deaths when a fight breaks out between residents waiting in line at a water truck. Those working for the water companies with the responsibility of turning different water lines on and off, called ""key men,"" are increasingly harassed by residents wanting to persuade them to keep their water on.",Abi-Habib and Kumar 2018,
-600,-590,590-600 BC,,Southern Europe,Greece,38.43,22.4513,Weapon,Athens poisons enemies' water,Athenian legislator Solon reportedly has roots of helleborus thrown into a small river or aqueduct leading from the Pleistrus River to Cirrha during a siege of this city. The enemy forces become violently ill and are defeated as a result. Some accounts have Solon building a dam across the Plesitus River cutting off the city's water supply. Such practices are widespread.,Absolute Astronomy n.d.,
2011,2011,2011,,Western Asia,"Palestine, Israel",32.2375,35.4036,Casualty,Israel destroys Palestinians' water pumps and wells,"Israel's military destroys nine water tanks in the Bedouin village of Amniyr in the South Hebron Hills, in the West Bank, Palestine. Later, soldiers destroy pumps and wells in the Jordan Valley villages of Al-Nasriyah, Al-Aqrabiyah, and Beit Hassan.",Aburawa 2011,
2014,2014,2014,,Northern Africa,Libya,26.561,17.423,Casualty,Libyan tribal disputes include attacks on pumps,"Disputes between two tribes in Libya, the Zwai and Tebu, include attacks on power stations and power cut for the pumps that operate the 'Man Made River' pipeline system, leading to water shortages.",Adel 2014,
2009,2009,2009,,Southern Asia,Afghanistan,33.343,69.7261,Weapon,Water trucks contaminated with cyanide,Water trucks supplying water to U.S. military forces in Afghanistan are contaminated with cyanide.,Afghan War Diary/Wikileaks 2009,
2019,2019,2019,1/1/2019,Sub-Saharan Africa,Mali,13.896854,-3.31117,Trigger,37 killed in herder-farmer conflict over water and land resources in Mali,37 civilians are killed in the ongoing conflict between herders and farmers who are fighting over access to water and land resources in central Mali.,Agence France-Press (AFP) 2019c,
2015,2015,2015,,Western Asia,Turkey,37.925,40.211,Casualty,Soldiers guarding Turkish dam are attacked,Turkish soldiers guarding a hydroelectric dam are attacked with rockets and long-range gunfire by the Kurdistan Workers' Party (PKK) in the Kulp district of Diyarbakir. One soldier is killed and three wounded.,Agence France-Presse (AFP)  2015d,
1999,1999,1999,,Sub-Saharan Africa,Zambia,-15.5702,28.2702,Casualty,Water pipeline in Zambia is bombed.,"A water pipeline is bombed along the Great North Road in Lusaka, Zambia. No group claims responsibility for the attack, however the National Union for the Total Independence of Angola is suspected of placing the bomb. This attack coincides with four other area bombings on the same day.",Agence France-Presse (AFP) 1999; Associated Press (AP) 1999b; Mulenga 1999; National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 199902280003,
2000,2000,2000,,Latin America and the Caribbean,Colombia,3.45165,-76.532,Casualty,Aqueduct in Colombia is attacked.,A bombing attempt occurs at an aqueduct in Colombia. The bomb does not detonate. The National Liberation Army is suspected in the attempt.,Agence France-Presse (AFP) 2000; National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200004110006,
2001,2001,2001,,Southern Europe,Macedonia,42.13,21.73,"Weapon, Casualty",Water cut off in Macedonian conflict,"Water flow to Kumanovo (population 100,000), Macedonia cut off for 12 days in conflict between ethnic Albanians and Macedonian forces. Valves of Glaznja and Lipkovo Lakes damaged.",Agence France-Presse (AFP) 2001; Macedonia Information Agency 2001,
2002,2002,2002,,Southern Asia,India,34.0147,74.6947,Trigger,"Deadly clash in Kashmir, India",Two people are killed and 25 others injured in Kashmir when police fire at a group of villagers clashing over water sharing. The incident took place in Garend village in a dispute over sharing water from an irrigation stream.,Agence France-Presse (AFP) 2002,
2008,2008,2008,,Sub-Saharan Africa,Mali,15.7179,-4.90441,Trigger,Security forces open fire on water privitization protesters in Mali,"One person is killed and five injured when security forces open fire on protests over an attempt to privatize water services in Lere, northwestern Mali.",Agence France-Presse (AFP) 2008,
2001,2001,2001,,Sub-Saharan Africa,Kenya,-2.44,40.39,Trigger,Deadly fight between Kenyan herders and farmers,"At least 130 people are killed in a string of clashes between Pokomo farmers and Orma, semi-nomadic cattle herders over access to land and river water.",Agence France-Presse (AFP) 2012a,
2012,2013,2012-2013,,Sub-Saharan Africa,Kenya,-1.5,40,Trigger,Ethnic conflict in Kenya fueled by water,"Extensive violence over water is reported in Kenya, with approximately 50 deaths in clashes between farmers and cattle herders. The conflict is part of a long-running dispute between Pokomo farmers and Orma, semi-nomadic cattle herders, over land and water. The current conflict is being exacerbated by Kenyan and foreign investment in vast tracts of land for food and biofuel cultivation, putting pressure on local resources. (See also entry in 2001.)",Agence France-Presse (AFP) 2012a; Al Jazeera 2012,
2013,2013,2013,,Northern Africa,Algeria,36.1842,5.40085,Trigger,Algerian protestors and police clash at protest over water shortages,"Nineteen people are arrested in Algeria's Setif region when clashes erupt between protesters and police during a demonstration against water shortages. Around 300 protesters march on the town hall in Bouselam to demand improved water supplies and other local improvements. Clashes broke out when the security forces attempted to access the building by force, with 19 people arrested.",Agence France-Presse (AFP) 2013,
2015,2015,2015,,Sub-Saharan Africa,Somalia,4.31793,45.3013,Trigger,"In Somalia, dozens killed in local land and water dispute","Dozens are killed in clan-related violence in Somalia's Hiran region. Sources say the violence is related to tensions over access to water and pasture, as well as local politics.",Agence France-Presse (AFP) 2015a; Horseed Media 2015,
2015,2015,2015,,Latin America and the Caribbean,Colombia,2.52373,-75.3152,Casualty,Revolutionary forces in Colombia blow up a water treatment facility,"According to military officials, Revolutionary Armed Forces of Colombia (FARC) ""detonated a high power explosive device,"" destroying a water facility in the town of Algeciras, in southwestern Colombia, disrupting service to about 13,000 people.",Agence France-Presse (AFP) 2015b,
